..........AI : 8.172 s, Game : 0.880 s
Episode 001 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.995 s, Game : 0.719 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 4.254 s, Game : 0.768 s
Episode 003 avg. reward = -0.900, Long-term avg. reward = -0.999
..........AI : 5.352 s, Game : 0.978 s
Episode 004 avg. reward = -0.900, Long-term avg. reward = -0.998
..........AI : 4.587 s, Game : 0.782 s
Episode 005 avg. reward = -0.900, Long-term avg. reward = -0.997
..........AI : 3.371 s, Game : 0.593 s
Episode 006 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 5.263 s, Game : 0.911 s
Episode 007 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 3.960 s, Game : 0.618 s
Episode 008 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 6.741 s, Game : 1.089 s
Episode 009 avg. reward = -0.800, Long-term avg. reward = -0.995
..........AI : 4.958 s, Game : 0.804 s
Episode 010 avg. reward = -0.900, Long-term avg. reward = -0.994
..........AI : 7.738 s, Game : 1.268 s
Episode 011 avg. reward = -0.700, Long-term avg. reward = -0.991
..........AI : 10.580 s, Game : 1.655 s
Episode 012 avg. reward = -0.800, Long-term avg. reward = -0.989
..........AI : 9.917 s, Game : 1.457 s
Episode 013 avg. reward = -1.000, Long-term avg. reward = -0.989
..........AI : 10.713 s, Game : 1.582 s
Episode 014 avg. reward = -0.900, Long-term avg. reward = -0.989
..........AI : 11.635 s, Game : 1.459 s
Episode 015 avg. reward = -0.900, Long-term avg. reward = -0.988
..........AI : 21.473 s, Game : 2.849 s
Episode 016 avg. reward = -0.300, Long-term avg. reward = -0.981
..........AI : 12.818 s, Game : 1.687 s
Episode 017 avg. reward = -0.800, Long-term avg. reward = -0.979
..........AI : 14.702 s, Game : 2.285 s
Episode 018 avg. reward = -0.500, Long-term avg. reward = -0.974
..........AI : 32.909 s, Game : 4.550 s
Episode 019 avg. reward = 0.300, Long-term avg. reward = -0.961
..........AI : 12.561 s, Game : 1.922 s
Episode 020 avg. reward = -0.700, Long-term avg. reward = -0.959
..........AI : 16.710 s, Game : 2.270 s
Episode 021 avg. reward = -0.700, Long-term avg. reward = -0.956
..........AI : 12.149 s, Game : 1.695 s
Episode 022 avg. reward = -0.900, Long-term avg. reward = -0.956
..........AI : 15.019 s, Game : 2.029 s
Episode 023 avg. reward = -0.800, Long-term avg. reward = -0.954
..........AI : 20.210 s, Game : 3.006 s
Episode 024 avg. reward = -0.300, Long-term avg. reward = -0.948
..........AI : 27.195 s, Game : 3.858 s
