Load previous model.sav? [0/1]
0
Episode 006 avg. reward = -0.900, Long-term avg. reward = -0.409
..........AI : 13.672 s, Game : 26.155 s
Episode 007 avg. reward = -0.400, Long-term avg. reward = -0.409
..........AI : 9.484 s, Game : 18.185 s
Episode 008 avg. reward = -0.700, Long-term avg. reward = -0.412
..........AI : 14.482 s, Game : 25.496 s
Episode 009 avg. reward = -0.600, Long-term avg. reward = -0.414
..........AI : 10.742 s, Game : 20.300 s
Episode 010 avg. reward = -0.700, Long-term avg. reward = -0.416
..........AI : 16.045 s, Game : 27.687 s
Episode 011 avg. reward = -0.600, Long-term avg. reward = -0.418
..........AI : 15.851 s, Game : 24.746 s
Episode 012 avg. reward = -0.700, Long-term avg. reward = -0.421
..........AI : 11.840 s, Game : 21.140 s
Episode 013 avg. reward = -0.900, Long-term avg. reward = -0.426
..........AI : 19.066 s, Game : 31.945 s
Episode 014 avg. reward = -0.400, Long-term avg. reward = -0.426
..........AI : 18.760 s, Game : 33.251 s
Episode 015 avg. reward = -0.400, Long-term avg. reward = -0.425
..........AI : 15.972 s, Game : 31.545 s
Episode 016 avg. reward = -0.300, Long-term avg. reward = -0.424
..........AI : 13.785 s, Game : 24.027 s
Episode 017 avg. reward = -0.500, Long-term avg. reward = -0.425
..........AI : 18.875 s, Game : 33.184 s
Episode 018 avg. reward = -0.200, Long-term avg. reward = -0.423
..........AI : 10.408 s, Game : 16.445 s
Episode 019 avg. reward = -0.900, Long-term avg. reward = -0.427
..........AI : 15.040 s, Game : 22.882 s
Episode 020 avg. reward = -0.600, Long-term avg. reward = -0.429
..........AI : 12.787 s, Game : 20.574 s
Episode 021 avg. reward = -0.600, Long-term avg. reward = -0.431
..........AI : 21.411 s, Game : 36.085 s
Episode 022 avg. reward = -0.300, Long-term avg. reward = -0.430
..........AI : 19.902 s, Game : 38.490 s
Episode 023 avg. reward = -0.200, Long-term avg. reward = -0.427
..........AI : 14.946 s, Game : 28.707 s
Episode 024 avg. reward = -0.500, Long-term avg. reward = -0.428
..........AI : 15.239 s, Game : 28.622 s
Episode 025 avg. reward = -0.500, Long-term avg. reward = -0.429
..........AI : 13.169 s, Game : 25.068 s
Episode 026 avg. reward = -0.500, Long-term avg. reward = -0.429
..........AI : 9.322 s, Game : 16.552 s
Episode 027 avg. reward = -0.800, Long-term avg. reward = -0.433
..........AI : 10.358 s, Game : 21.782 s
Episode 028 avg. reward = -0.700, Long-term avg. reward = -0.436
..........AI : 12.685 s, Game : 25.951 s
Episode 029 avg. reward = -0.500, Long-term avg. reward = -0.436
..........AI : 12.842 s, Game : 26.464 s
Episode 030 avg. reward = -0.500, Long-term avg. reward = -0.437
..........AI : 13.806 s, Game : 25.304 s
Episode 031 avg. reward = -0.600, Long-term avg. reward = -0.439
..........AI : 13.440 s, Game : 24.663 s
Episode 032 avg. reward = -0.500, Long-term avg. reward = -0.439
..........AI : 11.218 s, Game : 22.395 s
Episode 033 avg. reward = -0.700, Long-term avg. reward = -0.442
..........AI : 11.528 s, Game : 22.332 s
Episode 034 avg. reward = -0.700, Long-term avg. reward = -0.445
..........AI : 16.371 s, Game : 34.510 s
Episode 035 avg. reward = -0.100, Long-term avg. reward = -0.441
..........AI : 11.963 s, Game : 23.403 s
Episode 036 avg. reward = -0.700, Long-term avg. reward = -0.444
..........AI : 13.079 s, Game : 23.938 s
Episode 037 avg. reward = -0.600, Long-term avg. reward = -0.445
..........AI : 17.946 s, Game : 31.887 s
Episode 038 avg. reward = -0.200, Long-term avg. reward = -0.443
..........AI : 14.192 s, Game : 24.673 s
Episode 039 avg. reward = -0.500, Long-term avg. reward = -0.443
