..........AI : 10.808 s, Game : 22.078 s
Episode 003 avg. reward = -0.700, Long-term avg. reward = -0.603
..........AI : 12.572 s, Game : 26.077 s
Episode 004 avg. reward = -0.400, Long-term avg. reward = -0.601
..........AI : 14.647 s, Game : 30.112 s
Episode 005 avg. reward = -0.200, Long-term avg. reward = -0.597
..........AI : 11.811 s, Game : 23.139 s
Episode 006 avg. reward = -0.600, Long-term avg. reward = -0.597
..........AI : 10.708 s, Game : 20.362 s
Episode 007 avg. reward = -0.700, Long-term avg. reward = -0.598
..........AI : 8.285 s, Game : 14.688 s
Episode 008 avg. reward = -0.900, Long-term avg. reward = -0.601
..........AI : 13.161 s, Game : 23.778 s
Episode 009 avg. reward = -0.600, Long-term avg. reward = -0.601
..........AI : 9.500 s, Game : 16.361 s
Episode 010 avg. reward = -0.800, Long-term avg. reward = -0.603
..........AI : 10.568 s, Game : 20.366 s
Episode 011 avg. reward = -0.700, Long-term avg. reward = -0.604
..........AI : 7.637 s, Game : 13.686 s
Episode 012 avg. reward = -1.000, Long-term avg. reward = -0.608
..........AI : 10.670 s, Game : 18.197 s
Episode 013 avg. reward = -0.700, Long-term avg. reward = -0.609
..........AI : 7.738 s, Game : 14.071 s
Episode 014 avg. reward = -1.000, Long-term avg. reward = -0.613
..........AI : 8.196 s, Game : 13.719 s
Episode 015 avg. reward = -1.000, Long-term avg. reward = -0.617
..........AI : 6.938 s, Game : 12.411 s
Episode 016 avg. reward = -1.000, Long-term avg. reward = -0.620
..........AI : 9.067 s, Game : 14.850 s
Episode 017 avg. reward = -0.900, Long-term avg. reward = -0.623
..........AI : 9.938 s, Game : 15.155 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.627
..........AI : 8.131 s, Game : 13.519 s
Episode 019 avg. reward = -1.000, Long-term avg. reward = -0.631
..........AI : 8.035 s, Game : 13.982 s
Episode 020 avg. reward = -1.000, Long-term avg. reward = -0.634
..........AI : 6.828 s, Game : 13.565 s
Episode 021 avg. reward = -1.000, Long-term avg. reward = -0.638
..........AI : 19.291 s, Game : 22.516 s
Episode 001 avg. reward = -0.700, Long-term avg. reward = -0.700
..........AI : 17.285 s, Game : 22.005 s
Episode 002 avg. reward = -0.600, Long-term avg. reward = -0.699
..........AI : 18.446 s, Game : 22.667 s
Episode 003 avg. reward = -0.700, Long-term avg. reward = -0.699
..........AI : 20.914 s, Game : 24.784 s
Episode 004 avg. reward = -0.500, Long-term avg. reward = -0.697
..........AI : 13.158 s, Game : 16.107 s
Episode 005 avg. reward = -1.000, Long-term avg. reward = -0.700
..........AI : 19.968 s, Game : 23.980 s
Episode 001 avg. reward = -0.700, Long-term avg. reward = -0.700
..........AI : 12.154 s, Game : 14.878 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -0.703
..........AI : 11.086 s, Game : 13.978 s
Episode 003 avg. reward = -1.000, Long-term avg. reward = -0.706
..........AI : 11.276 s, Game : 14.164 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -0.709
..........AI : 9.401 s, Game : 11.259 s
Episode 005 avg. reward = -1.000, Long-term avg. reward = -0.712
..........AI : 10.777 s, Game : 12.181 s
Episode 006 avg. reward = -1.000, Long-term avg. reward = -0.715
..........AI : 10.373 s, Game : 11.786 s
Episode 007 avg. reward = -1.000, Long-term avg. reward = -0.718
..........AI : 9.932 s, Game : 11.800 s
Episode 008 avg. reward = -1.000, Long-term avg. reward = -0.720
..........AI : 10.450 s, Game : 10.825 s
Episode 009 avg. reward = -1.000, Long-term avg. reward = -0.723
..........AI : 10.850 s, Game : 11.074 s
Episode 010 avg. reward = -1.000, Long-term avg. reward = -0.726
..........AI : 10.555 s, Game : 12.036 s
Episode 011 avg. reward = -1.000, Long-term avg. reward = -0.729
..........AI : 10.321 s, Game : 11.993 s
Episode 012 avg. reward = -1.000, Long-term avg. reward = -0.731
..........AI : 11.226 s, Game : 11.368 s
Episode 013 avg. reward = -1.000, Long-term avg. reward = -0.734
..........AI : 12.420 s, Game : 12.996 s
Episode 014 avg. reward = -1.000, Long-term avg. reward = -0.737
..........AI : 11.698 s, Game : 13.124 s
Episode 015 avg. reward = -1.000, Long-term avg. reward = -0.739
..........AI : 9.379 s, Game : 11.194 s
Episode 016 avg. reward = -1.000, Long-term avg. reward = -0.742
..........AI : 9.575 s, Game : 11.822 s
Episode 017 avg. reward = -1.000, Long-term avg. reward = -0.745
..........AI : 10.364 s, Game : 12.420 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.747
..........AI : 10.778 s, Game : 12.712 s
Episode 019 avg. reward = -1.000, Long-term avg. reward = -0.750
..........AI : 9.792 s, Game : 12.166 s
Episode 020 avg. reward = -1.000, Long-term avg. reward = -0.752
..........AI : 11.380 s, Game : 12.178 s
Episode 021 avg. reward = -1.000, Long-term avg. reward = -0.755
..........AI : 9.084 s, Game : 10.976 s
Episode 022 avg. reward = -1.000, Long-term avg. reward = -0.757
..........AI : 10.346 s, Game : 12.003 s
Episode 023 avg. reward = -1.000, Long-term avg. reward = -0.760
..........AI : 10.559 s, Game : 11.737 s
Episode 024 avg. reward = -1.000, Long-term avg. reward = -0.762
..........AI : 10.194 s, Game : 10.283 s
Episode 025 avg. reward = -1.000, Long-term avg. reward = -0.764
..........AI : 9.572 s, Game : 10.333 s
Episode 026 avg. reward = -1.000, Long-term avg. reward = -0.767
..........AI : 11.750 s, Game : 12.186 s
