..........AI : 9.016 s, Game : 1.241 s
Episode 001 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.663 s, Game : 0.551 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.711 s, Game : 0.580 s
Episode 003 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 5.653 s, Game : 0.927 s
Episode 004 avg. reward = -0.900, Long-term avg. reward = -0.999
..........AI : 4.471 s, Game : 0.658 s
Episode 005 avg. reward = -0.900, Long-term avg. reward = -0.998
..........AI : 5.784 s, Game : 0.978 s
Episode 006 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 5.064 s, Game : 0.972 s
Episode 007 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 3.991 s, Game : 0.606 s
Episode 008 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 4.059 s, Game : 0.668 s
Episode 009 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 4.178 s, Game : 0.706 s
Episode 010 avg. reward = -0.900, Long-term avg. reward = -0.997
..........AI : 4.053 s, Game : 0.652 s
Episode 011 avg. reward = -0.900, Long-term avg. reward = -0.996
..........AI : 3.090 s, Game : 0.575 s
Episode 012 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 4.874 s, Game : 0.862 s
Episode 013 avg. reward = -0.800, Long-term avg. reward = -0.994
..........AI : 3.321 s, Game : 0.595 s
Episode 014 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 4.505 s, Game : 0.846 s
Episode 015 avg. reward = -0.800, Long-term avg. reward = -0.992
..........AI : 5.455 s, Game : 1.020 s
Episode 016 avg. reward = -0.800, Long-term avg. reward = -0.990
..........AI : 6.184 s, Game : 1.161 s
Episode 017 avg. reward = -0.800, Long-term avg. reward = -0.989
..........AI : 9.658 s, Game : 1.669 s
Episode 018 avg. reward = -0.500, Long-term avg. reward = -0.984
..........AI : 6.757 s, Game : 1.207 s
Episode 019 avg. reward = -0.800, Long-term avg. reward = -0.982
..........AI : 8.006 s, Game : 1.381 s
Episode 020 avg. reward = -0.800, Long-term avg. reward = -0.980
..........AI : 8.517 s, Game : 1.454 s
Episode 021 avg. reward = -0.700, Long-term avg. reward = -0.977
..........AI : 10.908 s, Game : 1.831 s
Episode 022 avg. reward = -0.600, Long-term avg. reward = -0.973
..........AI : 19.317 s, Game : 2.977 s
Episode 023 avg. reward = -0.200, Long-term avg. reward = -0.966
..........AI : 11.619 s, Game : 1.654 s
Episode 024 avg. reward = -0.800, Long-term avg. reward = -0.964
..........AI : 21.565 s, Game : 2.728 s
Episode 025 avg. reward = -0.300, Long-term avg. reward = -0.957
..........AI : 13.174 s, Game : 1.883 s
Episode 026 avg. reward = -0.700, Long-term avg. reward = -0.955
..........AI : 12.441 s, Game : 1.581 s
Episode 027 avg. reward = -0.900, Long-term avg. reward = -0.954
..........AI : 10.473 s, Game : 1.642 s
Episode 028 avg. reward = -0.900, Long-term avg. reward = -0.954
..........AI : 18.091 s, Game : 2.578 s
Episode 029 avg. reward = -0.500, Long-term avg. reward = -0.949
..........AI : 17.572 s, Game : 2.361 s
