..........AI : 6.786 s, Game : 0.902 s
Episode 001 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 4.557 s, Game : 0.726 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 4.356 s, Game : 0.705 s
Episode 003 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 8.237 s, Game : 1.254 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 8.162 s, Game : 1.041 s
Episode 005 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 11.551 s, Game : 1.361 s
Episode 006 avg. reward = -0.700, Long-term avg. reward = -0.997
..........AI : 8.479 s, Game : 1.088 s
Episode 007 avg. reward = -0.900, Long-term avg. reward = -0.996
..........AI : 7.033 s, Game : 0.979 s
Episode 008 avg. reward = -0.900, Long-term avg. reward = -0.995
..........AI : 9.014 s, Game : 1.204 s
Episode 009 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 8.936 s, Game : 1.224 s
Episode 010 avg. reward = -0.800, Long-term avg. reward = -0.993
..........AI : 12.363 s, Game : 1.886 s
Episode 011 avg. reward = -0.700, Long-term avg. reward = -0.990
..........AI : 11.581 s, Game : 1.545 s
Episode 012 avg. reward = -0.900, Long-term avg. reward = -0.989
..........AI : 10.852 s, Game : 1.601 s
Episode 013 avg. reward = -0.900, Long-term avg. reward = -0.988
..........AI : 6.588 s, Game : 1.017 s
Episode 014 avg. reward = -1.000, Long-term avg. reward = -0.989
..........AI : 8.509 s, Game : 1.082 s
Episode 015 avg. reward = -1.000, Long-term avg. reward = -0.989
..........AI : 9.741 s, Game : 1.313 s
Episode 016 avg. reward = -0.900, Long-term avg. reward = -0.988
..........AI : 8.634 s, Game : 1.159 s
Episode 017 avg. reward = -1.000, Long-term avg. reward = -0.988
..........AI : 15.204 s, Game : 2.070 s
Episode 018 avg. reward = -0.500, Long-term avg. reward = -0.983
..........AI : 17.000 s, Game : 2.315 s
Episode 019 avg. reward = -0.700, Long-term avg. reward = -0.980
..........AI : 10.809 s, Game : 1.507 s
Episode 020 avg. reward = -1.000, Long-term avg. reward = -0.980
..........AI : 31.349 s, Game : 4.652 s
Episode 021 avg. reward = 0.400, Long-term avg. reward = -0.967
..........AI : 12.305 s, Game : 1.670 s
Episode 022 avg. reward = -0.800, Long-term avg. reward = -0.965
..........AI : 11.542 s, Game : 1.657 s
Episode 023 avg. reward = -0.900, Long-term avg. reward = -0.964
..........AI : 12.292 s, Game : 1.639 s
Episode 024 avg. reward = -0.900, Long-term avg. reward = -0.964
..........AI : 10.784 s, Game : 1.551 s
Episode 025 avg. reward = -0.900, Long-term avg. reward = -0.963
..........AI : 16.710 s, Game : 2.364 s
Episode 026 avg. reward = -0.500, Long-term avg. reward = -0.958
..........AI : 18.936 s, Game : 2.742 s
Episode 027 avg. reward = -0.500, Long-term avg. reward = -0.954
..........AI : 17.128 s, Game : 2.301 s
Episode 028 avg. reward = -0.600, Long-term avg. reward = -0.950
..........AI : 16.641 s, Game : 2.380 s
Episode 029 avg. reward = -0.400, Long-term avg. reward = -0.945
..........AI : 14.283 s, Game : 2.058 s
Episode 030 avg. reward = -0.800, Long-term avg. reward = -0.943
..........AI : 15.644 s, Game : 2.123 s
Episode 031 avg. reward = -0.600, Long-term avg. reward = -0.940
..........AI : 14.190 s, Game : 2.023 s
Episode 032 avg. reward = -0.700, Long-term avg. reward = -0.937
..........AI : 19.966 s, Game : 2.889 s
Episode 033 avg. reward = -0.200, Long-term avg. reward = -0.930
..........AI : 10.392 s, Game : 1.439 s
