..........AI : 9.068 s, Game : 0.996 s
Episode 001 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 4.651 s, Game : 0.861 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 8.908 s, Game : 1.663 s
Episode 003 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 9.011 s, Game : 1.163 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 6.673 s, Game : 0.835 s
Episode 005 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 9.554 s, Game : 1.303 s
Episode 006 avg. reward = -0.900, Long-term avg. reward = -0.999
..........AI : 7.047 s, Game : 0.859 s
Episode 007 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 6.689 s, Game : 0.994 s
Episode 008 avg. reward = -0.900, Long-term avg. reward = -0.998
..........AI : 10.469 s, Game : 1.491 s
Episode 009 avg. reward = -0.800, Long-term avg. reward = -0.996
..........AI : 10.757 s, Game : 1.471 s
Episode 010 avg. reward = -0.900, Long-term avg. reward = -0.995
..........AI : 8.304 s, Game : 1.111 s
Episode 011 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 6.449 s, Game : 0.911 s
Episode 012 avg. reward = -1.000, Long-term avg. reward = -0.995
..........AI : 7.839 s, Game : 1.115 s
Episode 013 avg. reward = -0.900, Long-term avg. reward = -0.994
..........AI : 6.812 s, Game : 0.922 s
Episode 014 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 5.912 s, Game : 0.836 s
Episode 015 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 6.116 s, Game : 0.804 s
Episode 016 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 7.905 s, Game : 1.093 s
Episode 017 avg. reward = -0.900, Long-term avg. reward = -0.993
..........AI : 6.029 s, Game : 0.814 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 5.930 s, Game : 0.790 s
Episode 019 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 8.112 s, Game : 1.147 s
Episode 020 avg. reward = -0.800, Long-term avg. reward = -0.992
..........AI : 7.620 s, Game : 1.021 s
Episode 021 avg. reward = -1.000, Long-term avg. reward = -0.992
..........AI : 7.590 s, Game : 1.031 s
Episode 022 avg. reward = -0.900, Long-term avg. reward = -0.991
..........AI : 8.664 s, Game : 1.179 s
Episode 023 avg. reward = -0.800, Long-term avg. reward = -0.989
..........AI : 10.588 s, Game : 1.422 s
Episode 024 avg. reward = -0.800, Long-term avg. reward = -0.987
..........AI : 16.390 s, Game : 2.260 s
Episode 025 avg. reward = -0.500, Long-term avg. reward = -0.982
..........AI : 9.119 s, Game : 1.329 s
Episode 026 avg. reward = -1.000, Long-term avg. reward = -0.982
..........AI : 10.984 s, Game : 1.499 s
Episode 027 avg. reward = -0.800, Long-term avg. reward = -0.981
..........AI : 13.620 s, Game : 1.853 s
Episode 028 avg. reward = -0.600, Long-term avg. reward = -0.977
..........AI : 10.393 s, Game : 1.420 s
Episode 029 avg. reward = -0.900, Long-term avg. reward = -0.976
..........AI : 10.549 s, Game : 1.505 s
Episode 030 avg. reward = -1.000, Long-term avg. reward = -0.976
..........AI : 11.223 s, Game : 1.546 s
Episode 031 avg. reward = -1.000, Long-term avg. reward = -0.976
..........AI : 8.148 s, Game : 1.305 s
Episode 032 avg. reward = -1.000, Long-term avg. reward = -0.977
..........AI : 12.950 s, Game : 2.008 s
Episode 033 avg. reward = -0.700, Long-term avg. reward = -0.974
..........AI : 8.968 s, Game : 1.280 s
Episode 034 avg. reward = -1.000, Long-term avg. reward = -0.974
..........AI : 16.387 s, Game : 2.229 s
Episode 035 avg. reward = -0.500, Long-term avg. reward = -0.969
..........AI : 11.171 s, Game : 1.688 s
Episode 036 avg. reward = -0.800, Long-term avg. reward = -0.968
..........AI : 12.893 s, Game : 1.833 s
