..........AI : 7.931 s, Game : 0.673 s
Episode 001 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 3.191 s, Game : 0.512 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -1.000
..........AI : 4.336 s, Game : 0.798 s
Episode 003 avg. reward = -0.900, Long-term avg. reward = -0.999
..........AI : 4.022 s, Game : 0.674 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 4.642 s, Game : 0.871 s
Episode 005 avg. reward = -0.800, Long-term avg. reward = -0.997
..........AI : 3.318 s, Game : 0.585 s
Episode 006 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 3.961 s, Game : 0.770 s
Episode 007 avg. reward = -0.900, Long-term avg. reward = -0.996
..........AI : 3.961 s, Game : 0.751 s
Episode 008 avg. reward = -1.000, Long-term avg. reward = -0.996
..........AI : 4.267 s, Game : 0.772 s
Episode 009 avg. reward = -0.900, Long-term avg. reward = -0.995
..........AI : 6.099 s, Game : 1.154 s
Episode 010 avg. reward = -0.900, Long-term avg. reward = -0.994
..........AI : 5.284 s, Game : 0.844 s
Episode 011 avg. reward = -1.000, Long-term avg. reward = -0.994
..........AI : 5.515 s, Game : 0.978 s
Episode 012 avg. reward = -0.800, Long-term avg. reward = -0.992
..........AI : 8.130 s, Game : 1.411 s
Episode 013 avg. reward = -0.700, Long-term avg. reward = -0.989
..........AI : 8.839 s, Game : 1.450 s
Episode 014 avg. reward = -0.700, Long-term avg. reward = -0.987
..........AI : 6.153 s, Game : 1.068 s
Episode 015 avg. reward = -0.900, Long-term avg. reward = -0.986
..........AI : 8.365 s, Game : 1.353 s
Episode 016 avg. reward = -0.700, Long-term avg. reward = -0.983
..........AI : 13.780 s, Game : 2.305 s
Episode 017 avg. reward = -0.500, Long-term avg. reward = -0.978
..........AI : 9.290 s, Game : 1.338 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.978
..........AI : 16.477 s, Game : 2.259 s
Episode 019 avg. reward = -0.500, Long-term avg. reward = -0.973
..........AI : 14.998 s, Game : 1.972 s
Episode 020 avg. reward = -0.600, Long-term avg. reward = -0.970
..........AI : 18.560 s, Game : 2.610 s
Episode 021 avg. reward = -0.300, Long-term avg. reward = -0.963
..........AI : 10.247 s, Game : 1.554 s
Episode 022 avg. reward = -1.000, Long-term avg. reward = -0.963
..........AI : 11.933 s, Game : 1.842 s
Episode 023 avg. reward = -0.800, Long-term avg. reward = -0.962
..........AI : 27.852 s, Game : 3.814 s
Episode 024 avg. reward = -0.100, Long-term avg. reward = -0.953
..........AI : 17.490 s, Game : 2.561 s
Episode 025 avg. reward = -0.400, Long-term avg. reward = -0.948
..........AI : 23.256 s, Game : 3.371 s
Episode 026 avg. reward = -0.100, Long-term avg. reward = -0.939
..........AI : 22.618 s, Game : 3.308 s
Episode 027 avg. reward = -0.300, Long-term avg. reward = -0.933
..........AI : 10.463 s, Game : 1.442 s
Episode 028 avg. reward = -0.900, Long-term avg. reward = -0.932
..........AI : 17.319 s, Game : 2.517 s
Episode 029 avg. reward = -0.400, Long-term avg. reward = -0.927
..........AI : 21.971 s, Game : 3.240 s
Episode 030 avg. reward = -0.200, Long-term avg. reward = -0.920
..........AI : 21.210 s, Game : 3.027 s
Episode 031 avg. reward = -0.100, Long-term avg. reward = -0.912
..........AI : 13.123 s, Game : 1.855 s
Episode 032 avg. reward = -0.700, Long-term avg. reward = -0.909
..........AI : 14.576 s, Game : 1.979 s
Episode 033 avg. reward = -0.700, Long-term avg. reward = -0.907
..........AI : 10.870 s, Game : 1.485 s
Episode 034 avg. reward = -0.900, Long-term avg. reward = -0.907
..........AI : 19.640 s, Game : 2.796 s
Episode 035 avg. reward = -0.400, Long-term avg. reward = -0.902
..........AI : 18.861 s, Game : 2.668 s
Episode 036 avg. reward = -0.300, Long-term avg. reward = -0.896
..........AI : 19.088 s, Game : 2.752 s
Episode 037 avg. reward = -0.500, Long-term avg. reward = -0.892
..........AI : 17.516 s, Game : 2.439 s
Episode 038 avg. reward = -0.500, Long-term avg. reward = -0.888
..........AI : 15.222 s, Game : 2.184 s
Episode 039 avg. reward = -0.600, Long-term avg. reward = -0.885
..........AI : 17.552 s, Game : 2.518 s
Episode 040 avg. reward = -0.400, Long-term avg. reward = -0.881
..........AI : 14.573 s, Game : 2.158 s
Episode 041 avg. reward = -0.600, Long-term avg. reward = -0.878
..........AI : 12.551 s, Game : 1.839 s
Episode 042 avg. reward = -0.800, Long-term avg. reward = -0.877
..........AI : 16.074 s, Game : 2.297 s
Episode 043 avg. reward = -0.600, Long-term avg. reward = -0.874
..........AI : 19.630 s, Game : 2.845 s
Episode 044 avg. reward = -0.300, Long-term avg. reward = -0.868
..........AI : 20.577 s, Game : 3.049 s
Episode 045 avg. reward = -0.400, Long-term avg. reward = -0.864
..........AI : 18.394 s, Game : 2.805 s
Episode 046 avg. reward = -0.300, Long-term avg. reward = -0.858
..........AI : 16.278 s, Game : 2.378 s
Episode 047 avg. reward = -0.600, Long-term avg. reward = -0.856
..........AI : 14.394 s, Game : 2.155 s
Episode 048 avg. reward = -0.700, Long-term avg. reward = -0.854
..........AI : 17.528 s, Game : 2.527 s
Episode 049 avg. reward = -0.400, Long-term avg. reward = -0.849
..........AI : 18.290 s, Game : 2.704 s
Episode 050 avg. reward = -0.300, Long-term avg. reward = -0.844
..........AI : 20.138 s, Game : 3.064 s
Episode 051 avg. reward = -0.300, Long-term avg. reward = -0.839
..........AI : 17.057 s, Game : 2.518 s
Episode 052 avg. reward = -0.500, Long-term avg. reward = -0.835
..........AI : 15.796 s, Game : 2.325 s
Episode 053 avg. reward = -0.500, Long-term avg. reward = -0.832
..........AI : 23.270 s, Game : 3.544 s
Episode 054 avg. reward = -0.100, Long-term avg. reward = -0.824
..........AI : 26.019 s, Game : 3.911 s
Episode 055 avg. reward = 0.200, Long-term avg. reward = -0.814
..........AI : 20.767 s, Game : 3.035 s
Episode 056 avg. reward = -0.300, Long-term avg. reward = -0.809
..........AI : 26.230 s, Game : 3.853 s
Episode 057 avg. reward = 0.200, Long-term avg. reward = -0.799
..........AI : 13.116 s, Game : 1.899 s
Episode 058 avg. reward = -0.700, Long-term avg. reward = -0.798
..........AI : 14.260 s, Game : 2.179 s
Episode 059 avg. reward = -0.600, Long-term avg. reward = -0.796
..........AI : 21.075 s, Game : 3.086 s
Episode 060 avg. reward = 0.000, Long-term avg. reward = -0.788
..........AI : 10.887 s, Game : 1.548 s
Episode 061 avg. reward = -0.800, Long-term avg. reward = -0.788
..........AI : 18.090 s, Game : 2.631 s
Episode 062 avg. reward = -0.400, Long-term avg. reward = -0.784
..........AI : 24.148 s, Game : 3.707 s
Episode 063 avg. reward = 0.100, Long-term avg. reward = -0.775
..........AI : 23.444 s, Game : 3.463 s
Episode 064 avg. reward = -0.100, Long-term avg. reward = -0.769
..........AI : 24.835 s, Game : 3.815 s
Episode 065 avg. reward = 0.200, Long-term avg. reward = -0.759
..........AI : 26.748 s, Game : 4.052 s
Episode 066 avg. reward = 0.200, Long-term avg. reward = -0.749
..........AI : 19.330 s, Game : 2.763 s
Episode 067 avg. reward = -0.500, Long-term avg. reward = -0.747
..........AI : 20.328 s, Game : 2.814 s
Episode 068 avg. reward = -0.600, Long-term avg. reward = -0.745
..........AI : 22.245 s, Game : 3.165 s
Episode 069 avg. reward = -0.400, Long-term avg. reward = -0.742
..........AI : 28.643 s, Game : 4.012 s
Episode 070 avg. reward = 0.100, Long-term avg. reward = -0.734
..........AI : 34.128 s, Game : 4.751 s
Episode 071 avg. reward = 0.500, Long-term avg. reward = -0.721
..........AI : 15.298 s, Game : 2.091 s
Episode 072 avg. reward = -0.800, Long-term avg. reward = -0.722
..........AI : 24.607 s, Game : 3.434 s
Episode 073 avg. reward = -0.300, Long-term avg. reward = -0.718
..........AI : 30.431 s, Game : 4.391 s
Episode 074 avg. reward = 0.100, Long-term avg. reward = -0.710
..........AI : 51.987 s, Game : 7.583 s
Episode 075 avg. reward = 1.500, Long-term avg. reward = -0.688
..........AI : 42.470 s, Game : 6.120 s
Episode 076 avg. reward = 0.800, Long-term avg. reward = -0.673
..........AI : 29.033 s, Game : 4.151 s
Episode 077 avg. reward = 0.100, Long-term avg. reward = -0.665
..........AI : 26.737 s, Game : 3.729 s
Episode 078 avg. reward = -0.100, Long-term avg. reward = -0.659
..........AI : 60.513 s, Game : 9.022 s
Episode 079 avg. reward = 1.900, Long-term avg. reward = -0.634
..........AI : 40.263 s, Game : 5.795 s
Episode 080 avg. reward = 0.800, Long-term avg. reward = -0.619
..........AI : 28.550 s, Game : 3.896 s
Episode 081 avg. reward = -0.100, Long-term avg. reward = -0.614
..........AI : 35.456 s, Game : 5.101 s
Episode 082 avg. reward = 0.500, Long-term avg. reward = -0.603
..........AI : 49.690 s, Game : 7.076 s
Episode 083 avg. reward = 1.200, Long-term avg. reward = -0.585
..........AI : 39.267 s, Game : 5.655 s
Episode 084 avg. reward = 0.600, Long-term avg. reward = -0.573
..........AI : 39.033 s, Game : 5.428 s
Episode 085 avg. reward = 0.500, Long-term avg. reward = -0.562
..........AI : 37.064 s, Game : 5.014 s
Episode 086 avg. reward = 0.300, Long-term avg. reward = -0.554
..........AI : 43.826 s, Game : 6.442 s
Episode 087 avg. reward = 1.000, Long-term avg. reward = -0.538
..........AI : 38.124 s, Game : 5.340 s
Episode 088 avg. reward = 0.500, Long-term avg. reward = -0.528
..........AI : 35.014 s, Game : 4.910 s
Episode 089 avg. reward = 0.400, Long-term avg. reward = -0.519
..........AI : 20.045 s, Game : 2.814 s
Episode 090 avg. reward = -0.400, Long-term avg. reward = -0.517
..........AI : 40.270 s, Game : 5.690 s
Episode 091 avg. reward = 0.800, Long-term avg. reward = -0.504
..........AI : 34.032 s, Game : 4.758 s
Episode 092 avg. reward = 0.300, Long-term avg. reward = -0.496
..........AI : 23.587 s, Game : 3.368 s
Episode 093 avg. reward = -0.200, Long-term avg. reward = -0.493
..........AI : 23.762 s, Game : 3.387 s
Episode 094 avg. reward = -0.200, Long-term avg. reward = -0.490
..........AI : 26.813 s, Game : 3.836 s
Episode 095 avg. reward = -0.100, Long-term avg. reward = -0.486
..........AI : 22.546 s, Game : 3.306 s
Episode 096 avg. reward = -0.200, Long-term avg. reward = -0.484
..........AI : 39.085 s, Game : 5.450 s
Episode 097 avg. reward = 0.700, Long-term avg. reward = -0.472
..........AI : 42.477 s, Game : 6.065 s
Episode 098 avg. reward = 1.000, Long-term avg. reward = -0.457
..........AI : 25.889 s, Game : 3.690 s
Episode 099 avg. reward = -0.100, Long-term avg. reward = -0.453
..........AI : 59.448 s, Game : 8.558 s
Episode 100 avg. reward = 1.900, Long-term avg. reward = -0.430
..........AI : 35.192 s, Game : 5.043 s
Episode 101 avg. reward = 0.500, Long-term avg. reward = -0.421
..........AI : 38.863 s, Game : 5.407 s
Episode 102 avg. reward = 0.600, Long-term avg. reward = -0.410
..........AI : 23.225 s, Game : 3.281 s
