..........AI : 8.553 s, Game : 2.569 s
Episode 060 avg. reward = 0.300, Long-term avg. reward = -0.774
..........AI : 4.821 s, Game : 1.461 s
Episode 061 avg. reward = -0.600, Long-term avg. reward = -0.772
..........AI : 9.347 s, Game : 2.807 s
Episode 062 avg. reward = 0.300, Long-term avg. reward = -0.761
..........AI : 11.188 s, Game : 3.356 s
Episode 063 avg. reward = 0.800, Long-term avg. reward = -0.746
..........AI : 8.843 s, Game : 2.637 s
Episode 064 avg. reward = 0.200, Long-term avg. reward = -0.736
..........AI : 11.384 s, Game : 3.488 s
Episode 065 avg. reward = 0.800, Long-term avg. reward = -0.721
..........AI : 8.054 s, Game : 2.561 s
Episode 066 avg. reward = 0.000, Long-term avg. reward = -0.714
..........AI : 9.115 s, Game : 2.727 s
Episode 067 avg. reward = 0.300, Long-term avg. reward = -0.703
..........AI : 6.995 s, Game : 2.136 s
Episode 068 avg. reward = 0.000, Long-term avg. reward = -0.696
..........AI : 10.352 s, Game : 3.062 s
Episode 069 avg. reward = 0.600, Long-term avg. reward = -0.683
..........AI : 7.115 s, Game : 2.115 s
Episode 070 avg. reward = -0.100, Long-term avg. reward = -0.678
..........AI : 5.522 s, Game : 1.801 s
Episode 071 avg. reward = -0.400, Long-term avg. reward = -0.675
..........AI : 9.357 s, Game : 2.935 s
Episode 072 avg. reward = 0.500, Long-term avg. reward = -0.663
..........AI : 10.216 s, Game : 3.179 s
Episode 073 avg. reward = 0.600, Long-term avg. reward = -0.650
..........AI : 12.817 s, Game : 3.925 s
Episode 074 avg. reward = 1.100, Long-term avg. reward = -0.633
..........AI : 8.616 s, Game : 2.605 s
Episode 075 avg. reward = 0.200, Long-term avg. reward = -0.625
..........AI : 8.123 s, Game : 2.371 s
Episode 076 avg. reward = 0.100, Long-term avg. reward = -0.617
..........AI : 7.599 s, Game : 2.400 s
Episode 077 avg. reward = 0.100, Long-term avg. reward = -0.610
..........AI : 6.987 s, Game : 2.121 s
Episode 078 avg. reward = -0.100, Long-term avg. reward = -0.605
..........AI : 10.629 s, Game : 3.253 s
Episode 079 avg. reward = 0.700, Long-term avg. reward = -0.592
..........AI : 7.677 s, Game : 2.319 s
Episode 080 avg. reward = 0.000, Long-term avg. reward = -0.586
..........AI : 14.272 s, Game : 4.489 s
Episode 081 avg. reward = 1.700, Long-term avg. reward = -0.563
..........AI : 7.710 s, Game : 2.312 s
Episode 082 avg. reward = 0.000, Long-term avg. reward = -0.558
..........AI : 11.628 s, Game : 3.635 s
Episode 083 avg. reward = 0.900, Long-term avg. reward = -0.543
..........AI : 10.747 s, Game : 3.416 s
Episode 084 avg. reward = 0.800, Long-term avg. reward = -0.530
..........AI : 12.306 s, Game : 3.903 s
Episode 085 avg. reward = 1.200, Long-term avg. reward = -0.512
..........AI : 7.815 s, Game : 2.336 s
Episode 086 avg. reward = 0.100, Long-term avg. reward = -0.506
..........AI : 11.956 s, Game : 3.659 s
Episode 087 avg. reward = 1.100, Long-term avg. reward = -0.490
..........AI : 9.914 s, Game : 2.979 s
Episode 088 avg. reward = 0.400, Long-term avg. reward = -0.481
..........AI : 11.771 s, Game : 3.720 s
Episode 089 avg. reward = 1.000, Long-term avg. reward = -0.466
..........AI : 8.030 s, Game : 2.414 s
Episode 090 avg. reward = 0.100, Long-term avg. reward = -0.461
..........AI : 14.669 s, Game : 4.528 s
Episode 091 avg. reward = 1.700, Long-term avg. reward = -0.439
..........AI : 14.647 s, Game : 4.471 s
Episode 092 avg. reward = 1.700, Long-term avg. reward = -0.418
..........AI : 16.033 s, Game : 5.036 s
Episode 093 avg. reward = 2.000, Long-term avg. reward = -0.394
..........AI : 10.156 s, Game : 3.223 s
Episode 094 avg. reward = 0.600, Long-term avg. reward = -0.384
..........AI : 11.046 s, Game : 3.390 s
Episode 095 avg. reward = 0.800, Long-term avg. reward = -0.372
..........AI : 22.898 s, Game : 7.322 s
Episode 096 avg. reward = 3.700, Long-term avg. reward = -0.331
..........AI : 9.983 s, Game : 2.959 s
Episode 097 avg. reward = 0.400, Long-term avg. reward = -0.324
..........AI : 13.228 s, Game : 4.080 s
Episode 098 avg. reward = 1.200, Long-term avg. reward = -0.309
..........AI : 8.325 s, Game : 2.562 s
Episode 099 avg. reward = 0.200, Long-term avg. reward = -0.303
..........AI : 16.236 s, Game : 5.231 s
Episode 100 avg. reward = 2.100, Long-term avg. reward = -0.279
..........AI : 9.689 s, Game : 2.993 s
Episode 101 avg. reward = 0.600, Long-term avg. reward = -0.271
..........AI : 15.379 s, Game : 4.768 s
Episode 102 avg. reward = 1.900, Long-term avg. reward = -0.249
..........AI : 9.247 s, Game : 2.850 s
Episode 103 avg. reward = 0.300, Long-term avg. reward = -0.243
..........AI : 16.742 s, Game : 5.303 s
Episode 104 avg. reward = 2.300, Long-term avg. reward = -0.218
..........AI : 12.427 s, Game : 3.856 s
Episode 105 avg. reward = 1.100, Long-term avg. reward = -0.205
..........AI : 11.946 s, Game : 3.789 s
Episode 106 avg. reward = 1.100, Long-term avg. reward = -0.192
..........AI : 11.396 s, Game : 3.490 s
Episode 107 avg. reward = 0.800, Long-term avg. reward = -0.182
..........AI : 12.913 s, Game : 3.969 s
Episode 108 avg. reward = 1.400, Long-term avg. reward = -0.166
..........AI : 10.203 s, Game : 3.144 s
Episode 109 avg. reward = 0.800, Long-term avg. reward = -0.156
..........AI : 19.375 s, Game : 6.006 s
Episode 110 avg. reward = 2.700, Long-term avg. reward = -0.128
..........AI : 30.028 s, Game : 9.429 s
Episode 111 avg. reward = 5.000, Long-term avg. reward = -0.077
..........AI : 28.865 s, Game : 9.341 s
Episode 112 avg. reward = 5.100, Long-term avg. reward = -0.025
..........AI : 6.078 s, Game : 1.761 s
Episode 113 avg. reward = -0.400, Long-term avg. reward = -0.028
..........AI : 17.306 s, Game : 5.510 s
Episode 114 avg. reward = 2.300, Long-term avg. reward = -0.005
..........AI : 23.532 s, Game : 7.271 s
Episode 115 avg. reward = 3.700, Long-term avg. reward = 0.032
..........AI : 19.084 s, Game : 6.059 s
Episode 116 avg. reward = 2.800, Long-term avg. reward = 0.060
..........AI : 13.237 s, Game : 4.191 s
Episode 117 avg. reward = 1.400, Long-term avg. reward = 0.073
..........AI : 27.322 s, Game : 8.599 s
Episode 118 avg. reward = 4.700, Long-term avg. reward = 0.119
..........AI : 11.200 s, Game : 3.472 s
Episode 119 avg. reward = 0.800, Long-term avg. reward = 0.126
..........AI : 18.390 s, Game : 5.818 s
Episode 120 avg. reward = 2.500, Long-term avg. reward = 0.150
..........AI : 26.299 s, Game : 8.425 s
Episode 121 avg. reward = 4.600, Long-term avg. reward = 0.194
..........AI : 27.592 s, Game : 8.816 s
Episode 122 avg. reward = 5.000, Long-term avg. reward = 0.242
..........AI : 18.999 s, Game : 5.949 s
Episode 123 avg. reward = 2.700, Long-term avg. reward = 0.267
..........AI : 19.052 s, Game : 6.010 s
Episode 124 avg. reward = 2.800, Long-term avg. reward = 0.292
..........AI : 23.171 s, Game : 7.258 s
Episode 125 avg. reward = 3.600, Long-term avg. reward = 0.325
..........AI : 50.176 s, Game : 15.896 s
Episode 126 avg. reward = 9.800, Long-term avg. reward = 0.420
..........AI : 18.073 s, Game : 5.760 s
Episode 127 avg. reward = 2.500, Long-term avg. reward = 0.441
..........AI : 29.887 s, Game : 9.113 s
Episode 128 avg. reward = 5.100, Long-term avg. reward = 0.487
..........AI : 17.121 s, Game : 5.265 s
Episode 129 avg. reward = 2.200, Long-term avg. reward = 0.505
..........AI : 13.683 s, Game : 4.277 s
Episode 130 avg. reward = 1.500, Long-term avg. reward = 0.515
..........AI : 22.686 s, Game : 7.027 s
Episode 131 avg. reward = 3.400, Long-term avg. reward = 0.543
..........AI : 42.203 s, Game : 13.004 s
Episode 132 avg. reward = 7.800, Long-term avg. reward = 0.616
..........AI : 24.395 s, Game : 7.877 s
Episode 133 avg. reward = 4.000, Long-term avg. reward = 0.650
..........AI : 31.613 s, Game : 9.808 s
Episode 134 avg. reward = 5.700, Long-term avg. reward = 0.700
..........AI : 13.970 s, Game : 4.374 s
Episode 135 avg. reward = 1.700, Long-term avg. reward = 0.710
..........AI : 35.562 s, Game : 11.121 s
Episode 136 avg. reward = 6.600, Long-term avg. reward = 0.769
..........AI : 21.632 s, Game : 6.861 s
Episode 137 avg. reward = 3.400, Long-term avg. reward = 0.795
..........AI : 46.826 s, Game : 14.792 s
Episode 138 avg. reward = 9.500, Long-term avg. reward = 0.883
..........AI : 20.535 s, Game : 6.760 s
Episode 139 avg. reward = 3.300, Long-term avg. reward = 0.907
..........AI : 55.483 s, Game : 17.437 s
Episode 140 avg. reward = 11.200, Long-term avg. reward = 1.010
..........AI : 23.485 s, Game : 7.359 s
Episode 141 avg. reward = 3.900, Long-term avg. reward = 1.039
..........AI : 34.195 s, Game : 10.597 s
Episode 142 avg. reward = 6.000, Long-term avg. reward = 1.088
..........AI : 19.383 s, Game : 6.224 s
Episode 143 avg. reward = 2.900, Long-term avg. reward = 1.106
..........AI : 41.179 s, Game : 12.768 s
Episode 144 avg. reward = 7.800, Long-term avg. reward = 1.173
..........AI : 51.249 s, Game : 16.472 s
Episode 145 avg. reward = 10.300, Long-term avg. reward = 1.264
..........AI : 28.869 s, Game : 8.786 s
Episode 146 avg. reward = 5.000, Long-term avg. reward = 1.302
..........AI : 54.886 s, Game : 17.610 s
Episode 147 avg. reward = 11.600, Long-term avg. reward = 1.405
..........AI : 44.460 s, Game : 14.220 s
Episode 148 avg. reward = 9.100, Long-term avg. reward = 1.482
..........AI : 55.042 s, Game : 17.678 s
Episode 149 avg. reward = 11.300, Long-term avg. reward = 1.580
..........AI : 29.853 s, Game : 9.468 s
Episode 150 avg. reward = 5.200, Long-term avg. reward = 1.616
..........AI : 37.967 s, Game : 12.144 s
Episode 151 avg. reward = 7.600, Long-term avg. reward = 1.676
..........AI : 48.801 s, Game : 15.933 s
Episode 152 avg. reward = 10.100, Long-term avg. reward = 1.760
..........AI : 47.898 s, Game : 15.065 s
Episode 153 avg. reward = 9.400, Long-term avg. reward = 1.837
..........AI : 61.952 s, Game : 19.747 s
Episode 154 avg. reward = 13.300, Long-term avg. reward = 1.951
..........AI : 26.220 s, Game : 8.189 s
Episode 155 avg. reward = 4.100, Long-term avg. reward = 1.973
..........AI : 57.010 s, Game : 18.160 s
Episode 156 avg. reward = 11.900, Long-term avg. reward = 2.072
..........AI : 23.600 s, Game : 7.045 s
Episode 157 avg. reward = 3.500, Long-term avg. reward = 2.086
..........AI : 49.490 s, Game : 15.705 s
Episode 158 avg. reward = 10.100, Long-term avg. reward = 2.166
..........AI : 93.507 s, Game : 29.720 s
Episode 159 avg. reward = 20.800, Long-term avg. reward = 2.353
..........AI : 60.659 s, Game : 19.073 s
Episode 160 avg. reward = 12.200, Long-term avg. reward = 2.451
..........AI : 25.721 s, Game : 7.710 s
Episode 161 avg. reward = 3.900, Long-term avg. reward = 2.466
..........AI : 61.821 s, Game : 19.983 s
Episode 162 avg. reward = 13.400, Long-term avg. reward = 2.575
..........AI : 106.455 s, Game : 33.294 s
Episode 163 avg. reward = 23.300, Long-term avg. reward = 2.782
..........AI : 68.132 s, Game : 21.454 s
Episode 164 avg. reward = 14.400, Long-term avg. reward = 2.898
..........AI : 96.240 s, Game : 30.735 s
Episode 165 avg. reward = 21.500, Long-term avg. reward = 3.085
..........AI : 80.584 s, Game : 24.893 s
Episode 166 avg. reward = 17.000, Long-term avg. reward = 3.224
..........AI : 42.429 s, Game : 12.849 s
Episode 167 avg. reward = 7.900, Long-term avg. reward = 3.270
..........AI : 34.702 s, Game : 10.372 s
Episode 168 avg. reward = 6.000, Long-term avg. reward = 3.298
..........AI : 26.055 s, Game : 7.926 s
Episode 169 avg. reward = 4.200, Long-term avg. reward = 3.307
..........AI : 45.652 s, Game : 14.469 s
Episode 170 avg. reward = 8.900, Long-term avg. reward = 3.363
..........AI : 54.914 s, Game : 17.161 s
Episode 171 avg. reward = 11.300, Long-term avg. reward = 3.442
..........AI : 32.538 s, Game : 10.424 s
Episode 172 avg. reward = 5.800, Long-term avg. reward = 3.466
..........AI : 104.269 s, Game : 32.265 s
Episode 173 avg. reward = 22.300, Long-term avg. reward = 3.654
..........AI : 40.741 s, Game : 13.130 s
Episode 174 avg. reward = 8.100, Long-term avg. reward = 3.698
..........AI : 73.671 s, Game : 23.290 s
Episode 175 avg. reward = 15.600, Long-term avg. reward = 3.817
..........AI : 39.873 s, Game : 12.315 s
Episode 176 avg. reward = 7.600, Long-term avg. reward = 3.855
..........AI : 92.787 s, Game : 28.421 s
Episode 177 avg. reward = 18.900, Long-term avg. reward = 4.006
..........AI : 135.575 s, Game : 41.670 s
Episode 178 avg. reward = 29.000, Long-term avg. reward = 4.256
..........AI : 182.547 s, Game : 55.676 s
Episode 179 avg. reward = 40.000, Long-term avg. reward = 4.613
..........AI : 64.635 s, Game : 20.258 s
Episode 180 avg. reward = 13.700, Long-term avg. reward = 4.704
..........AI : 119.935 s, Game : 38.369 s
Episode 181 avg. reward = 26.600, Long-term avg. reward = 4.923
..........AI : 37.428 s, Game : 10.711 s
Episode 182 avg. reward = 6.300, Long-term avg. reward = 4.937
..........AI : 32.968 s, Game : 10.316 s
